,videoId,publishedAt,channelID,title,channelTitle,viewCount,channelType
2291,cx_JPNCswaU,2022-07-26T01:40:51Z,UC5Eruaah6W9101CKUqSrX6Q,စ/ဆုံး AI ESPORTS VS FENIX ESPORTS BEST OF 7 - Ultimate Challenge,Myanmar Gaming Channel,129785,"['/m/0bzvm2', '/m/03hf_rm', '/m/025zzc', '/m/0403l3g']"
2292,54fpCktJhsU,2022-02-26T20:04:29Z,UCVAEZCSdGp_9obd9jZ_922Q,AI VS AVENGERS ( Fun Match ) Role ချိန်းပြီးဆော့လဲ ကြမ်းတာပဲ အကြမ်းတလိုင်း Kid ရဲ့ Lencelot,Mobile Gaming,98047,"['/m/0403l3g', '/m/0bzvm2', '/m/03hf_rm', '/m/02ntfj', '/m/025zzc']"
2293,Gl9HUWC_7MQ,2022-09-17T02:59:21Z,UCV77wqu_Jw-hV51YuAPBDJg,PLAYMAKER &amp; AI VS SOULBURNER!!! VRAINS WORLD EARLY DUEL PREVIEW!,NoWBrian THE WORLD,72526,"['/m/0bzvm2', '/m/025zzc', '/m/04q1x3q']"
2294,ckowUkmrP7c,2022-03-29T16:31:01Z,UCW12Hdhb8pVj_BrAy3A0HvQ,[Game - 1] Ai Esports vs Falcon Nex  / REAL CUP,Zay Casting Channel,68272,"['/m/025zzc', '/m/0403l3g', '/m/0bzvm2', '/m/03hf_rm']"
2295,g-49inkcTP0,2022-09-23T00:00:14Z,UCKy1dAqELo0zrOtPkf0eTMw,Portal Auto-Enhanced with Nvidia RTX Remix AI vs Original,IGN,65564,"['/m/025zzc', '/m/02ntfj', '/m/0bzvm2', '/m/02jjt', '/m/02vxn', '/m/0403l3g']"
2296,PjW0TzYLMlg,2022-11-09T10:00:06Z,UCOOKj-kWvrsK8CDfHZTw9lw,&#39;AI가 인간을 대체할 수 있을까?&#39; AI vs 인간 그림 대결 ｜PIXID,Pixid,62057,"['/m/02jjt', '/m/028sqc', '/m/04rlf']"
2297,SxVeHF97e4g,2022-04-06T10:00:29Z,UC2CetDoIdrjGj6RPWPDsNrA,Cities Skylines Traffic AI vs TMPE Traffic Manager Cities Skylines mod,Sportsmonkey,61375,"['/m/0bzvm2', '/m/021bp2', '/m/03hf_rm']"
2298,u8t4-eqEYds,2022-06-22T12:00:30Z,UCmKtn_HvpfbTu3QV4lhJIMw,Google LaMDA 2 vs. OpenAI GPT 3: (Watch the AI Demos),CNET Highlights,54538,"['/m/07c1v', '/m/019_rr']"
2299,7_A9fY5YjWg,2022-03-20T00:13:30Z,UCnbmkVyQ6oa8L0lsuqdQ25g,Stellaris The New AI Vs. Technocracy,Montu Plays,54385,"['/m/0bzvm2', '/m/0403l3g', '/m/02ntfj', '/m/03hf_rm', '/m/025zzc']"
2300,WG_A1DjPqIs,2022-04-22T12:30:15Z,UCJbg_yirB5vm9VKn5yLGCKw,I made 60fps Flipbooks using A.I.,Andymation,14644966,"['/m/019_rr', '/m/03glg']"
2301,gOVqHNEwhGk,2022-11-19T17:00:36Z,UCf7k_CRPu1ufFYXBCPHEt4g,AI Art vs Professional Artist,1 Minute Talk Show,6204435,"['/m/02vxn', '/m/02jjt', '/m/09kqc']"
2302,J6Mdq3n6kgk,2022-07-21T12:21:53Z,UCvCYE-3TrY1GAe2l8K08N-w,Stunning AI shows how it would kill 90%. w Elon Musk.,Digital Engine,5978765,"['/m/01k8wb', '/m/019_rr', '/m/098wr', '/m/07c1v']"
2303,b2bdGEqPmCI,2022-09-11T19:31:19Z,UCvCYE-3TrY1GAe2l8K08N-w,"This intense AI anger is exactly what experts warned of, w Elon Musk.",Digital Engine,5110616,"['/m/07c1v', '/m/098wr', '/m/019_rr', '/m/01k8wb']"
