,id,title,views,author,channel_url,duration
94,94,china dingzhou,10533,fermi,https://www.youtube.com/channel/UCy3Q2gP1-suPylgqPEnxstg,421
95,95,learn another language,210692,Cow,https://www.youtube.com/channel/UCAkqfD0PnSi5oR5ewfcbalA,42
96,96,"use condom,please",219037,Cow,https://www.youtube.com/channel/UCAkqfD0PnSi5oR5ewfcbalA,45
97,97,Street Fighter II Themed Salsa contestants in SoKo,676020,fermi,https://www.youtube.com/channel/UCy3Q2gP1-suPylgqPEnxstg,197
98,98,www.stockshot.nl... worldwide in living colour,2441,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,138
99,99,Aerial image Dutch Polders,6703,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,10
100,100,Aerial image Dutch river IJssel,2779,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,10
101,101,New Zealand national parks,4342,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
102,102,Longest video uploaded in 2005,19376,bietenprak,https://www.youtube.com/channel/UCMHF47-1F5OkoNWl_6q4AxA,2837
103,103,Us girlies making cookies!,3614,brennnnnnna,https://www.youtube.com/channel/UCHwFnmmjBeb2V3oB8k4tSwg,6
104,104,Aerolight Eagle Ultralight,38473,flyguy26,https://www.youtube.com/channel/UCEjeQeCOnD9lf2_pAFxuyAQ,920
105,105,Basset hound,60279,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
106,106,Bull Mastiff,160158,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
107,107,Persian cat,36481,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
108,108,Norsk Skogkatt & kittens,22436,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
109,109,Vizsla dog,85312,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
110,110,Stonehenge world heritage,3611,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
111,111,Wouda Steam Pumping Station - Woudagemaal Lemmer,5389,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
112,112,Building a Morgan,4539,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
113,113,Engineer steam train,10835,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
114,114,Beekeeper,60867,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
115,115,Squirrel feeding on pinecone,42060,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
116,116,Orange Days - Theme,411743,clay,https://www.youtube.com/channel/UCrqofsre6kPYs2RbNeNOSUA,126
117,117,Red Deer in rutting season,150135,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
118,118,Koala in Blue Mountains National Park,14166,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
119,119,Flowers in Joshua Tree national park,5708,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
120,120,City of Amsterdam,2193,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
121,121,"Havana, Cuba",2328,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
122,122,Yellowstone national park,5997,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
123,123,Maldives tropical beach,1831,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
124,124,"Capoeira Batuque (Venice, California)",4885,moondoggie,https://www.youtube.com/channel/UCCrvYga1q1--WS7RkkDP8Wg,16
125,125,Mestre Amen Speaks,3431,moondoggie,https://www.youtube.com/channel/UCCrvYga1q1--WS7RkkDP8Wg,16
126,126,capoeira with its beautiful cultural roots,4694,moondoggie,https://www.youtube.com/channel/UCCrvYga1q1--WS7RkkDP8Wg,23
127,127,Very talented and experienced!,8197,moondoggie,https://www.youtube.com/channel/UCCrvYga1q1--WS7RkkDP8Wg,36
128,128,Clown,3288,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
129,129,Miller  working at the millstone,1300,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
130,130,Cheers for Contra-Mestre Nei from Australia,4250,moondoggie,https://www.youtube.com/channel/UCCrvYga1q1--WS7RkkDP8Wg,11
131,131,Shiprestorer,1137,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
132,132,The elders dance capoeira.,5454,moondoggie,https://www.youtube.com/channel/UCCrvYga1q1--WS7RkkDP8Wg,61
133,133,Girlie take-down during capoeira.,3591,moondoggie,https://www.youtube.com/channel/UCCrvYga1q1--WS7RkkDP8Wg,8
134,134,invited guests,1458,moondoggie,https://www.youtube.com/channel/UCCrvYga1q1--WS7RkkDP8Wg,24
135,135,Cartwright,4594,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
136,136,picking up the pace,2321,moondoggie,https://www.youtube.com/channel/UCCrvYga1q1--WS7RkkDP8Wg,21
137,137,Powwow Indian dance,6200,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
138,138,more capoeira,1435,moondoggie,https://www.youtube.com/channel/UCCrvYga1q1--WS7RkkDP8Wg,24
139,139,capoeira,3693,moondoggie,https://www.youtube.com/channel/UCCrvYga1q1--WS7RkkDP8Wg,39
140,140,"Wachau, Danube valley, world heritage",3334,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
141,141,"all shapes, ages and sizes can dance",3867,moondoggie,https://www.youtube.com/channel/UCCrvYga1q1--WS7RkkDP8Wg,21
142,142,Maori woodcutter,1599,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
143,143,City of London,1761,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
144,144,Diamond Princess stateroom Lido deck,20892,moondoggie,https://www.youtube.com/channel/UCCrvYga1q1--WS7RkkDP8Wg,164
145,145,"Sydney skyline & opera house, Australia",4138,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
146,146,"City of Venice,  World Heritage",7588,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
147,147,Aerial image forest,1190,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,10
148,148,Aerial image riverforelands near Cuijk,562,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,10
149,149,Happy Anniversary,1388,moondoggie,https://www.youtube.com/channel/UCCrvYga1q1--WS7RkkDP8Wg,55
150,150,Marietas Islands snorkel and dive tour,3615,moondoggie,https://www.youtube.com/channel/UCCrvYga1q1--WS7RkkDP8Wg,103
151,151,Chick-chikee boom!,1998,moondoggie,https://www.youtube.com/channel/UCCrvYga1q1--WS7RkkDP8Wg,155
152,152,hand-made bricks,35101,moondoggie,https://www.youtube.com/channel/UCCrvYga1q1--WS7RkkDP8Wg,74
153,153,making bricks,14888,moondoggie,https://www.youtube.com/channel/UCCrvYga1q1--WS7RkkDP8Wg,41
154,154,Deafmovies,6818,Theo Stoter,https://www.youtube.com/channel/UCHmaq7hOPSS387YZ1iL9j8A,59
155,155,Deafmovies,7284,Theo Stoter,https://www.youtube.com/channel/UCHmaq7hOPSS387YZ1iL9j8A,100
156,156,jicama,1115,moondoggie,https://www.youtube.com/channel/UCCrvYga1q1--WS7RkkDP8Wg,30
157,157,Aerial image Sand Dunes Veluwe,810,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,10
158,158,Ainhoa Perez - Examen iniciacio A,932,CLUB PATINATGE ARTÍSTIC RIPOLLET,https://www.youtube.com/channel/UCk-jiyxWKtM0jq_Ee2h-E5g,206
159,159,Hyperbolus Magruff!!!,20732,COBALTGRUV,https://www.youtube.com/channel/UCs0ACZIa1m4ecu2zijr-8Sg,34
160,160,Snowlerbladers Unite,6652,BobbyTee,https://www.youtube.com/channel/UCFcYcoxJO55XU9jHhY5al2w,180
161,161,Shady lake fire works,3022,Jones4Carrie,https://www.youtube.com/channel/UC7K5am1UAQEsCRhzXpi9i1g,138
162,162,Don't Be The First To Pass Out!,6808,slvgdvg,https://www.youtube.com/channel/UCo7V0qVLXMJ2pTqmKQyrXXQ,9
163,163,"Carrie could be rad, if only she wasnt born without a spleen",7035,Jones4Carrie,https://www.youtube.com/channel/UC7K5am1UAQEsCRhzXpi9i1g,68
164,164,Batik Printing,67332,minishorts,https://www.youtube.com/channel/UCXQw9PkazvHm0_8YdgOXc7g,67
165,165,Verde Valley Railroad,2588,moondoggie,https://www.youtube.com/channel/UCCrvYga1q1--WS7RkkDP8Wg,16
166,166,Leaving Las Vegas,3126,moondoggie,https://www.youtube.com/channel/UCCrvYga1q1--WS7RkkDP8Wg,75
167,167,Spanish Video,19022,Craig McFadden,https://www.youtube.com/channel/UCHPQBQE4MtUtgmb0s68nR9A,215
168,168,How to Fold,510316,charlyntangerine,https://www.youtube.com/channel/UCI-_Tox6B5wblM5ipBRqqag,39
169,169,La Signora Franca e La Pacifica Contestazione,243976,Filippo Giunti,https://www.youtube.com/channel/UCM2qyB5J01DX2lBAdDlceoA,59
170,170,Aerial image Dutch village,1757,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,20
171,171,Aerial image Dwingeloo National Park,1086,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,10
172,172,Aerial image Geul river valley,948,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,10
173,173,Aerial image hondsbosse zeewering,1187,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,10
174,174,Slotfeest Vriendenkring Idaerd (verkorte versie),906,bokkedebeer,https://www.youtube.com/channel/UCUa85X_2T2Y9AJcIS_rDDNA,250
175,175,jeugdvakantiewerk,2887,Chris Budding,https://www.youtube.com/channel/UCqZG8EqKb3wlOa2_n0n0yLg,217
176,176,Aerial image peatbog,610,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,10
177,177,Aerial image industry,502,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,10
178,178,City of Maastricht,1657,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,10
179,179,Aerial image Oosterscheldedam,2746,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,10
180,180,Aerial image dune landscape,768,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,10
181,181,Wadden Sea National Park,4479,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,10
182,182,Sunset,1801,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
183,183,Wild Boar & offspring in Veluwe National Park,6147,dreamshot,https://www.youtube.com/channel/UCqdJiqVzRXGSy_VaIiGK5Dw,30
184,184,Nouchka Schoolfeest 2005,1186,lonpatje,https://www.youtube.com/channel/UCxYrs5mNA7ko08ekmGL0FeA,79
185,185,Azuregos,14630,Lionheartilly,https://www.youtube.com/channel/UCFhLzvWXa3sAF3AczO2LtWw,854
186,186,Deafmovies,4607,Theo Stoter,https://www.youtube.com/channel/UCHmaq7hOPSS387YZ1iL9j8A,33
187,187,Deafmovies,3601,Theo Stoter,https://www.youtube.com/channel/UCHmaq7hOPSS387YZ1iL9j8A,59
188,188,CFEclipse editor part 1,5234,Rob Rohan,https://www.youtube.com/channel/UCSDoHWC_IACZ4ykqEIAt44g,709
189,189,CFEclipse Installing Eclipse,4258,Rob Rohan,https://www.youtube.com/channel/UCSDoHWC_IACZ4ykqEIAt44g,246
